title,genre
The Journey,adventure
Outsiders,scifi
Poran,mystery
Bull Shark,action
Midnight Moonlight,scifi
El secreto de la solterona,mystery
El futbolista fenómeno,scifi
The Lucky Ones,crime
The Double Man,mystery
Mississippi Burning,mystery
How We Met: FF2,romance
Sonho de Verão,family
Black Death,mystery
Long Shot,romance
Enter If You Dare: House on Creepy Lane Part 2,fantasy
A Perfectly Normal Family,family
Ford v Ferrari,action
Unearth,scifi
The Serpent's Egg,mystery
The Watchers: Revelation,adventure
The Man Who Sold the World,mystery
Mathiyaal Vell,thriller
Håkan Bråkan & Josef,family
Super Boy,action
A Dog's Journey,fantasy
Grave Encounters 2,mystery
Maan Gaye Mughall-E-Azam,crime
Maya the Bee 3: The Golden Orb,family
The Revenger,action
Platinum Pussycat,romance
Das tapfere Schneiderlein,family
Haunted - 3D,fantasy
+1,scifi
"Nowhere, Nobody",crime
Throwing Down,crime
Quick Time,scifi
Vaanam,crime
The Polar Express,fantasy
Dina,horror
Self Isolated,mystery
The Highwaymen,mystery
The Last Man,scifi
Intergalactic Fanny Pack Travels,scifi
The Lunch Witch,family
Majokko shimai no Yoyo to Nene,fantasy
Dancing Ninja,crime
Konservy,thriller
The Cremators,scifi
Attack of the Puppet People,scifi
Swell,thriller
In Search of the Titanic,thriller
The Equinox... A Journey Into the Supernatural,mystery
Batman Returns,fantasy
Mermaid Got Married,fantasy
Sevda sahilleri,romance
Contracted: Phase II,horror
Lupin III: Dead or Alive,action
Fueled by Love,crime
The Replacement,adventure
Horse Crazy 2: The Legend of Grizzly Mountain,family
The Thing on the Doorstep,thriller
009 Re: Cyborg,action
Little Harbour,family
Pulse 2: Afterlife,scifi
Los Futbolistas,adventure
Shaan,crime
Mr. Bravo,action
Remote Viewing,mystery
Trasharella,action
Who Finds a Friend Finds a Treasure,adventure
Mr. Peters' Pets,fantasy
The Living Daylights,adventure
47 Ronin,fantasy
Skyscraper,action
Bright: Samurai Soul,fantasy
Spree,horror
"No, the Case Is Happily Resolved",crime
Curdled,thriller
Fool N Final,crime
We Are the Pirates of the Roads,adventure
Loving Summer,romance
Ballad of the Nightingale,romance
Los Angeles/Tehran,fantasy
Marijuana Minutes,scifi
Thillana Mohanambal,romance
Shanghai Affairs,romance
The Tale of Tsar Saltan,family
On Her Majesty's Secret Service,adventure
Shimajiro to Ururu no Heroland,adventure
OSS 117 se déchaîne,adventure
Angel Mountain,thriller
The River Within,family
Men in Black,scifi
R.I.C.C.O.,thriller
Charari buldeongeoriga doerira,romance
Barney's Great Adventure,family
Inferno,romance
Jind Mahi,romance
Hayanbang,mystery
Mellow,romance
The Legend of Santa Claus,family
Unfoundit,action
Premikaya Nama,horror
Magic,thriller
The Last King of Detroit,crime
Hundhotellet,mystery
Galiyon Ka Badshah,action
Silsila,family
The Yellow One,adventure
Piet Piraat en het zeemonster,adventure
Free Willy,family
Hercules in the Valley of Woe,fantasy
Cocoon: The Return,scifi
Lock Up,action
Life in a Day,scifi
Who Framed Roger Rabbit,fantasy
Kong Island,horror
Dabangg 2,action
Mannen som ikke kunne le,fantasy
Stantsiya 88,scifi
The Golden Web,fantasy
Zhong ai wu yan,family
The Bad Lieutenant: Port of Call - New Orleans,crime
Natural Born Filmmakers,action
Pursuit to Algiers,adventure
The Return of Martin Guerre,crime
Kilat: The Lightning,action
Spy Kids 4: All the Time in the World,action
Star Trek Into Darkness,scifi
La ruletera,romance
Yin she mou sha an,thriller
Videoclub,horror
Good Boys,adventure
Prancer,fantasy
Tian xian pei,romance
The Seven Tasks of Ali Baba,adventure
But Deliver Us from Evil,horror
Dark Waters,mystery
La terra e il vento,family
Nigredo,mystery
Night Howl,horror
Nico,mystery
Tarantula,crime
Mr. Robinson Crusoe,family
The Princess and the Pea,fantasy
Bad Seed,thriller
No Women No Children,crime
Stranger,thriller
Spider-Man 4: Fan Film,adventure
Dragon Girl,fantasy
Vampiria,horror
Anjaam Pathiraa,mystery
Hui Buh und das Hexenschloss,family
My Diaries,adventure
Senario the Movie: Ops Pocot,family
13 Frightened Girls,thriller
Geez & Ann,romance
Creepshow,horror
Kung Fury 2,crime
Searching for Sonny,mystery
A Demon Called Desolation,horror
The Human Clay,romance
Peter Rabbit 2: The Runaway,family
Southern Comfort,romance
Send Her My Love,scifi
Grotesque,horror
"Remember me, remember love",family
Pye-ga,horror
Mata Hari,crime
El asalto,crime
The Cavern,adventure
Faro,adventure
The Platinum Triangle,mystery
Monstrum,horror
Mouthpiece,romance
El Beat,fantasy
Hearts of Men,crime
Village of Eight Gravestones,mystery
Hana-Dama: The Origins,horror
The Valet,romance
Ether Wars: Return of the Fallen,adventure
Blood Red Sky,thriller
Mr Tom,scifi
Kalyanam Kamaneeyam,romance
The Watermill Princess,fantasy
Los Muertos Desperados,adventure
The Boy Behind the Door,mystery
I'll Remember April,crime
Marry a Rich Man,fantasy
Project Wolf Hunting,scifi
Las dos galleras,adventure
BloodRayne,horror
Den of Thieves,crime
Beyond the Sky,thriller
Memories,mystery
Kamen Rider Gaim: Great Soccer Battle! Golden Fruits Cup!,action
Apt Pupil,thriller
Samouraïs,action
Shohi (The Consumed),scifi
Heartbreak Hotel,romance
Pagaivan,action
Sath Chhute Na Sathiya,romance
Mingo y Aníbal contra los fantasmas,mystery
Secret Service Investigator,romance
Maattrraan,scifi
Diwanji Moola Grand Prix,thriller
Who Killed Cooper Dunn?,mystery
Tears of the Faithful,action
A Nightmare on Elm Street 5: The Dream Child,fantasy
The Symbol of Sacrifice,adventure
"... somewhere, a dog barks",crime
Vale Tudo Project,crime
The Rage: Carrie 2,horror
Monsters vs. Aliens,scifi
Planet Outlaws,family
A Genealogy of History of Insanity,mystery
Seupakeumaen,scifi
The Brother from Another Planet,scifi
AssAssINS,adventure
Gold,adventure
Bad Folks,thriller
Shallow Grave,horror
Krishnopokkho,romance
Z,adventure
Out of Death,crime
The Reenactor,mystery
The Aristocats,family
Susan Hero,scifi
Meenar,mystery
Escisión,mystery
The Nutcracker,fantasy
Cherry Blossoms,mystery
Super Police,action
Caillou: The Silver Knight,family
Lore,adventure
The Blind Ferryman,fantasy
Agent for H.A.R.M.,scifi
Ghost City,thriller
In the Absence of Evil,horror
Qualify,scifi
Sham Love - Online Dating Ruse,crime
Pandhayam,thriller
Fullmetal Alchemist: Final Transmutation,adventure
Michel Strogoff,adventure
Attack of the Crab Monsters,scifi
Khalifa,action
Kureyon Shinchan: Buriburi Ôkoku no hihô,adventure
Magellan,mystery
The Bloodstained Shadow,mystery
Romantic Retrievals,thriller
It's a Summer Film!,fantasy
A Little Night Music,romance
The Chronicles of Narnia: The Voyage of the Dawn Treader,adventure
Tailspin Tommy,crime
Grease 2,action
Snow White and the Three Stooges,romance
Fantômas: The Dead Man Who Killed,crime
General Commander,action
"Bruno Reidal, Confessions of a Murderer",crime
Mad Genius,scifi
Breakout,action
The Escape,adventure
Stalker,thriller
Gone in 60 Seconds,crime
Moonraker,scifi
Tarantula,mystery
The Seer,family
Murder On-Line,thriller
L'orchestre rouge,adventure
Yu-Gi-Oh! Bonds Beyond Time,adventure
Witch: Tsukimono - Suji Returns,scifi
The Hawaiians,adventure
The Siege of Sidney Street,action
ChainSmoke,thriller
The Resting Samurai,crime
The 11th Green,scifi
Joe Palooka in Winner Take All,family
Hidden Agenda,crime
Ex Con,crime
Heaven and Earth,action
Stand Your Ground,crime
The Border Patrolman,thriller
Restart After Come Back Home,romance
There's Someone Outside Your Window,mystery
Del Lago,horror
The Fall of the House of Usher,horror
The Blue Elephant,family
Dark Entities,horror
The Girl Hunters,mystery
Loot,thriller
Confessions of an Action Star,action
Unholy Soundtrack,horror
"Theoretically, an even more paranoid conspiratorial phone call",mystery
None But the Brave,romance
A Knife for the Ladies,horror
Meus 15 Anos,family
Dr. Coppelius,fantasy
The Suicide Squad,scifi
El hasnaa waal talaba,romance
Something Beautiful,scifi
St. Nicholas and the Flight Through the Sky,family
An Egg Rescue,adventure
"Coulda, Woulda, Shoulda",family
Finding Ophelia,horror
Souls at Sea,adventure
She Lived on Franklin Avenue,horror
Takkar,thriller
The Silent Spy,action
The Last Unicorn,adventure
Sanity,thriller
The Story of Molly X,mystery
Maestro,mystery
Project Kronos,scifi
There's Something in the Barn,horror
The Glasses,scifi
Meatball Machine Kodoku,action
The Red Man,mystery
Mudhalvan,action
Mini Force: The Beginning,family
Condorito: The Movie,family
Der Samurai,horror
Mannequin,horror
Wolves of the Nation,action
A Devil's Game,crime
Clean Slate,action
The Thousand Faces of Dunjia,adventure
Malignant Spirits: Sense of Fiction,mystery
Lazarat,thriller
Kamen Rider Heisei Generations: Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Rider,fantasy
Reunion,horror
The Command,adventure
High Life,scifi
The Nine Lives of Tomas Katz,mystery
Frankenstein,horror
The Harassed Hero,crime
Diljale,action
Separated: The Film,mystery
Principal's Sabbath,horror
CellFish 2 The Final Game,family
Between Me and You,romance
Cell,thriller
Eiga Hugtto! Precure x Futari wa Precure: All Stars Memories,fantasy
Monster Hunter,fantasy
The Annexe,horror
Look Both Ways,mystery
Yai Nee Romba Azhaga Irukey,romance
Stories of Lost Souls,thriller
"Kamen Rider Fourze: Everyone, Space is Here!",fantasy
The Furies,thriller
Crossfire,crime
Flu,scifi
Don Juan Tallinnas,adventure
Little Savages,family
Jingle Jangle: A Christmas Journey,family
Haunted Plantation,horror
Child of Kamiari Month,adventure
Kutsal Damacana,fantasy
The Witches of the Sands,mystery
Barbed Fences,action
Velvet Buzzsaw,mystery
Ishq My Religion,romance
Lady Nine Flower,action
2020 Texas Gladiators,scifi
Mahabharat,family
"No Retreat, No Surrender 2",adventure
Rush Hour 2,thriller
The Pink Panther 2,mystery
Mystics in Bali,fantasy
Six Suspects,mystery
Asesino en serio,mystery
La furia de un vengador,action
Just Like Heaven,fantasy
Kes,family
A Lenda dos Quatro,fantasy
Abducted,scifi
Konkanastha,family
Amazing Stories,scifi
Summer Rebels,family
System-Upgrade,scifi
168 Hours,horror
Offender,thriller
Lumberjack Man,scifi
The Cravens,horror
Clifford the Big Red Dog,family
The Cornstarch Gizmo,fantasy
Making Monsters,horror
Whiteout,crime
Der Reisende,fantasy
Ouroboria,horror
Thanga Magan,action
"Madaling mamatay, mahirap mabuhay",action
After Death,mystery
369,mystery
Town Without Pity,crime
Hercules: The Legendary Journeys - Blond You Out,fantasy
Camp Tough Love,family
Head Over Heels,mystery
Superman's Peril,fantasy
Nagarahole,family
The Belles of St. Trinian's,family
Murder at Dawn,horror
This Man's Navy,adventure
The Mountain Kings,crime
Jasmine Women,family
129,scifi
Soygun Oyunu: Büyük Vurgun,action
Yamaleela 2,family
Catskill Park,scifi
I Am Toxic,action
Those Were the Days,crime
Goatman's Bridge: The Legend,horror
Lunacy,scifi
God Came Near,family
Hot Summer Nights,romance
Pariah Chapter One: Emergence,fantasy
The Sadist,thriller
Nothing But the Truth,thriller
Dos nacos en el planeta de las mujeres,scifi
5 histoires... d'amour,romance
The Kid: An Animated Adventure,scifi
South32,action
The Door Into Summer,scifi
Legends of Earth,crime
Koppen,horror
Die Klage der Kaiserin,fantasy
IP5: The Island of Pachyderms,adventure
Biohazard: Patient Zero,scifi
The Cave,adventure
The Woods of Purgatory,mystery
Black Memory,crime
47 Meters Down,adventure
Venus in Eros,fantasy
Jo-seon-myeong-tamjeong: Heupyeolgoemaui bimil,mystery
My Favorite Brunette,mystery
Under Hellgate Bridge,crime
Criminal Intention,action
Soul Virginity,scifi
21,thriller
Loose Change,action
Lisbon,adventure
The House on the Marsh,crime
Under Cover,thriller
The Rogues of London,mystery
They Were Eleven,mystery
Hell Below Zero,adventure
A Breath Away,mystery
Pedring Taruc,action
Posalji coveka u pola dva,thriller
Too Hot to Handle,adventure
The Mist,scifi
The White Rose,adventure
Rage,thriller
Kerala Paradiso,family
The Cry Baby Killer,crime
Desperate Ghosts,fantasy
Dante's Demons,horror
The Last House,horror
She,fantasy
An Encounter with God,crime
Illicit Dreams 2,mystery
Panzer Dragoon,adventure
A Boy Called Hate,crime
Environmental Protection Guardians,family
Sidetracked,mystery
Fat,fantasy
Fast Money,crime
Mugen shinshi: Ningyô jigoku,fantasy
The Adventures of Link,fantasy
Blood,fantasy
Ticket to the Circus,romance
Trilogie De Tragedie,romance
Agatha,mystery
Blu38,thriller
A Kiss for Cinderella,family
The Lost Missile,scifi
Cows,romance
11.6,thriller
L'Affaire Desombres,fantasy
7:11 PM,scifi
Atlas,adventure
Deadly,crime
7 Days in December,fantasy
Twisters,adventure
Battle of the Damned,adventure
Mary Reilly,romance
A Fish Tale,adventure
The Crypt of Count Dracoola,fantasy
D.E.B.S.,romance
Danger Diva,scifi
The Heisenberg Effect,mystery
Fanged,horror
Untitled Science Fiction Film,scifi
Luck,family
Leash,thriller
London,thriller
The Bondman,adventure
Untitled Kyle Booth Project,fantasy
The Kindred,scifi
Get Luke Lowe,thriller
Under Siege,adventure
She Devil,scifi
Kandukondain Kandukondain,romance
The Peppercorns and the Secret of the Deep Sea,family
Relative Justice,crime
The Emerald Archer,action
The Way Out,family
Cannibal Mercenary,adventure
Caller ID: Entity,scifi
Legendary: A Virtue Reality,fantasy
Uyaniklar Dünyasi,crime
Eeshwar,action
Beer for My Horses,crime
La tribu,crime
Vientos de la Habana,thriller
The Green Hornet,family
Palace Carnage,action
Arcadia,scifi
A Wonderful Way with Dragons,fantasy
Imperfect,romance
I Spit on Your Grave,thriller
Detective Lloyd,crime
From the Earth to the Moon,adventure
Sylvester,family
Ashes,adventure
Die Wilden Kerle 4,family
Maverick,action
Instinct,thriller
The Arbit Documentation of An Amphibian Hunt: Aavasavyuham,thriller
In Gold We Trust,adventure
White Point,scifi
Duck Duck Goose,family
The Woman in the Fifth,mystery
Dead Serious,crime
Umar,crime
Psychosis,mystery
Strength in Numbers,thriller
Blade of the Immortal,action
Dear Playtime,romance
The Monkey King: The Legend Begins,fantasy
N.P.,scifi
The Ball and the Cross,adventure
Carnaval,thriller
The Record Keeper,scifi
The Hunted,crime
GACHI-BAN: WORST MAX,adventure
The Beloved,romance
House of the Damned,action
Mr. Razi,crime
The Strange Case of the Man and the Beast,scifi
Pesnya Luizy,romance
The Bund: Part II,adventure
Dead of Night,action
Maut,thriller
Game Night,thriller
White Crow,adventure
Insurance Investigator,romance
Instant Rapport,scifi
A Lady in Sirtaki Dance,romance
Fighting Sleep,scifi
Pulang,adventure
Thunderbird 6,family
Synchronicity,mystery
Hell Hath No Fury,crime
Bala at rosaryo,action
Evinced,thriller
The Steam-Driven Adventures of Riverboat Bill,family
Vicky Donor,romance
Barsaat,romance
Aliens vs. A-holes,scifi
The Share Out,mystery
Our Neighbour Detective,crime
Dudaktan Kalbe,romance
The Circle,thriller
Europa Report,scifi
Moana,adventure
Waternova,scifi
Semantic Error: The Movie,romance
Eden Lodge,thriller
Thunder Road,adventure
The Day Time Ended,adventure
Valencia,family
Youth of the Beast,crime
Straight Hustl'n,action
Valente Quintero,family
In My Life,romance
Smokescreen,mystery
The Brothers,adventure
Lay It Down,thriller
Trainyard Dogs: Part I,crime
Vice,mystery
Mr. Moto Takes a Vacation,mystery
Game Over,crime
Mystee Magic Trilogy,fantasy
Unwanted Attention,thriller
Fester,horror
Vexille,scifi
The Vibe,mystery
Tibetan Dog,adventure
ETXR,scifi
Duel of the Titans,action
The Demeter,thriller
Shades of Death,action
The Captive,crime
Eyes Without a Face,thriller
Brillebjørn på bondegården,family
Drive-In Grindhouse,horror
Chaand Kaa Tukdaa,crime
Biggles: Adventures in Time,scifi
The Gendarme and the Extra-Terrestrials,crime
Xia dao lu ping,crime
From Tehran to Heaven,mystery
Kate,crime
Let's Go to Prison,crime
La battaglia del deserto,action
Test Pilot,romance
Muhômatsu no isshô,adventure
The Days That Follow,action
Age of Redemption: New Universe,scifi
Demonstone,mystery
Payal Ki Jhankar,adventure
Tanatopraxia,thriller
Attack the Block 2,scifi
Dark Curtains,thriller
The Enemy and the Victim,mystery
Sonny,crime
Repeat Offenders: Jamais Vu,action
"I Am Sartana, Your Angel of Death",mystery
The Rack Pack,adventure
The Shadow Behind You,mystery
The Field,adventure
Adrushyam Odia Thriller,thriller
V82 - Revenge of the Nitros!,adventure
Sleeper,thriller
Palmetto,crime
Blood Red,thriller
The Best Man,thriller
The Driver,action
The Whole Truth,mystery
Dark River,mystery
Afterschool,mystery
Maa Abbayi,romance
Two for Danger,crime
Pink String and Sealing Wax,thriller
Shark in Venice,fantasy
El Viejo,thriller
Presentimientos,adventure
The Preppie Connection,crime
Hannah's Dream,family
In,mystery
Safe Distance,thriller
Teen Titans GO! To the Movies,family
Titanius,fantasy
The Blonde Bandit,crime
That Darn Cat,crime
Black Butler,fantasy
Prometheus Trap,scifi
Wonderful Days,scifi
The Veil of Twilight,fantasy
Supersonic Man,scifi
Last Breath,horror
A Boy Named Charlie Brown,family
Curse of Aurore,horror
FlyGirl,family
Untitled Cuban Mafia Project,crime
We All Fall Down,adventure
The Tall Guy,romance
The Shiftling,scifi
Heavy Metal,fantasy
Pile ou face,crime
Aaru,action
Iman Alone,romance
Deprivation,horror
The Meddler,romance
The Secret Art of Human Flight,fantasy
"Philipp, der Kleine",fantasy
Time Rewind,scifi
XxxHolic,mystery
Heartbreak Hotel,romance
Wake Up,mystery
Mists of Crime,crime
From the Hip,mystery
Darker Than Night,mystery
Bubblegum,mystery
Footprints on the Moon,mystery
Footsteps in the Fog,crime
Legal ThreaT,scifi
Cutie Honey,scifi
Help,crime
The Imitator,mystery
Maarey kadhaley maarchey kadhaney,thriller
Ci ling,scifi
The Steam Engines of Oz,fantasy
Present for You,fantasy
The PianoTuner of EarthQuakes,family
Varg Veum - Falne engler,thriller
The Strange Love of Martha Ivers,romance
OSS 117 prend des vacances,action
Zombie Dollz,horror
I Shall Never Return,horror
SpaceCamp,family
Risque,action
Who's That Girl?,romance
Romeo Must Die,action
Tarzan's Jungle Rebellion,adventure
Champions of the Deep,fantasy
Oh Manapenne,romance
Winter of '83,horror
Barnaby,adventure
Rules of a Law,crime
Shaqiu chong bao,action
A Guilty Conscience,mystery
Ritsa,romance
Vanmam,action
Yuki MR,action
Find Me,horror
The Sender,scifi
Warriors: The Black Panther,action
Ashes,crime
Dance with a Vampyre,horror
Savage Sam,family
Macross FB 7: Ore no Uta o Kike!,action
Code M,family
Raphael,fantasy
Moe Berg: The Quiet Hero,action
Andromeda Wars,scifi
Jagadeka Veeruni Katha,fantasy
Iskra,thriller
Road Trip to Lourdes,adventure
Lonely in the Shadows,scifi
The Whisperer in Darkness,thriller
La Flor,mystery
Tag til Rønneby Kro,family
04-27,scifi
Dragon Ball Z: The Movie,fantasy
He quan,adventure
Penny Man,thriller
Shame,thriller
1974,thriller
Khyber Patrol,adventure
Children Who Chase Lost Voices,fantasy
The Ghost Lights,scifi
Bedknobs and Broomsticks,family
Alice,thriller
Race with the Devil,horror
Un sentimiento honesto en el calabozo del olvido,thriller
Fear PHarm 2,adventure
Ivan Vasilyevich Changes His Profession,adventure
Paraíso robado,mystery
The Luck of the Irish,fantasy
The Green Oak Project,scifi
Why Rock the Boat?,romance
My Wife & I,family
Brigadoon,fantasy
Maggie,thriller
Aggi Veerudu,action
The Extraordinary Adventures of Saturnino Farandola,scifi
Frozen Sasquatch,horror
Top End Wedding,romance
The Ghost Breakers,romance
The Face Behind the Mask,romance
The Most Dangerous Game,thriller
With You,romance
The Laws of the Border,thriller
Cuchulainn,fantasy
Inquest,mystery
The Curse of Frankenstein,horror
Kamandag ng droga,crime
The Red Angel,romance
The Last Resort,horror
Proxima,action
Devil's App,horror
Pilgrim's Progress the Journey Begins,adventure
The Forest of Darkness,fantasy
The Return of the Jonsson League,crime
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",family
Kdyz má svátek Dominika,family
Never Look Back,action
Tarzan's New York Adventure,adventure
Here... Or There?,fantasy
Regression,thriller
Dreams of Allon,adventure
Perdedores Natos,crime
The Gravedancers,horror
The Mesmerist,mystery
Night Class,thriller
Mersea,romance
Phoenix,scifi
"Das singende, klingende Bäumchen",fantasy
The Enchanting Shadow,fantasy
The Fantastic Journey of Margot & Marguerite,fantasy
When Women Lost Their Tails,scifi
Sigma Die!,horror
The Thanksgiving Movie,family
1980,crime
Werewolf Castle,fantasy
The Arm of the Law,adventure
The Seventh Seal,fantasy
Dr. Socrates,romance
Seed,thriller
And Justice for All,crime
Krakatit,scifi
Backfire,crime
Red Emerald,fantasy
Sembilu,romance
Bleach,adventure
Spiritwalker,action
Batshit,fantasy
Crows Explode,action
Space Raiders,adventure
RiffTrax Live: Birdemic - Shock and Terror,horror
High Way,crime
Aanakkallan,mystery
Sennentuntschi: Curse of the Alps,horror
Saw 3D,mystery
Foolproof,crime
The Cost of Deception,crime
Syncopation,romance
Wonder Dogs,family
The Knights of Future Salvation,scifi
Alvin Purple,romance
Kaena: The Prophecy,adventure
Kukhnya v Parizhe,romance
Double Edge,action
The Private Eye,mystery
Sandino,horror
Zatoichi and the Chess Expert,adventure
Ang mahiwagang lampara,family
Beyond Blue: An Unnerving Tale of a Demented Mind,fantasy
The Washing Machine,scifi
New York Will Eat You Alive,fantasy
Where the Heart Left Off,romance
The Maidens' Conspiracy,adventure
Luck-Key,crime
Crossed,crime
Devanthakudu,fantasy
I Still Know What You Did Last Summer,mystery
"Susuko ba ako, inay?",action
The Dunwich Horror,fantasy
Caught in the Crossfire,crime
Nanny McPhee Returns,family
Mark of Kane,action
Enter the Furnace,thriller
The Edge of Time,scifi
Bommala Koluvu,mystery
Before the Fall,thriller
Myths and Legends: The New Alliance,scifi
Bhuvana Sundari Katha,adventure
I Married a Witch,fantasy
Die Männer der Emden,adventure
Carnivorous,horror
"Flavia, the Heretic",horror
Leichil Mafol,romance
Abstruse,thriller
Song of Songs,thriller
White Salamander,crime
Prophet,scifi
Smoked,crime
Last and First Men,fantasy
A Christmas Genie,fantasy
